nouns,dates,values,,adj,dates,values,,unkn,dates,values,,intj,dates,values,,prcl,dates,values,,prep,dates,values,,conj,dates,values
,1936,0.55,,,1936,12.3,,,1936,6.98,,,1938,0.5,,,1936,0.75,,,1936,0.32,,,1936,0.84
,1938,0.47,,,1938,10.28,,,1938,07.04,,,1939,0.49,,,1938,0.7,,,1938,0.34,,,1938,0.65
,1939,0.43,,,1939,5.7,,,1939,6.23,,,1940,0.37,,,1939,0.34,,,1939,0.52,,,1939,0.52
,1940,0.39,,,1940,11.27,,,1940,6.42,,,1941,0.53,,,1940,0.51,,,1940,0.5,,,1940,0.56
,1941,0.41,,,1941,7.39,,,1941,6.19,,,1942,0.68,,,1941,0.38,,,1941,0.78,,,1941,1.21
,1942,0.55,,,1942,9.99,,,1942,8.46,,,1944,0.43,,,1942,0.28,,,1942,0.38,,,1942,0.37
,1944,0.63,,,1944,09.08,,,1944,7.2,,,1945,0.26,,,1944,0.48,,,1944,0.32,,,1944,0.51
,1945,0.37,,,1945,9.18,,,1945,6.37,,,1948,0.52,,,1945,0.34,,,1945,0.32,,,1945,1.28
,1948,0.4,,,1948,11.41,,,1948,5.19,,,1952,0.43,,,1948,0.49,,,1948,0.58,,,1948,0.77
,1952,0.44,,,1952,6.72,,,1952,6.78,,,1956,0.53,,,1952,01.03,,,1952,0.42,,,1952,1.42
,1956,0.4,,,1956,7.94,,,1956,5.95,,,1963,0.31,,,1956,01.04,,,1956,0.27,,,1956,1.51
,1963,0.67,,,1963,13.39,,,1963,8.56,,,1965,0.33,,,1963,0.17,,,1963,0.26,,,1963,0.27
,1965,0.58,,,1965,9.8,,,1965,05.08,,,1970,0.41,,,1965,0.32,,,1965,0.41,,,1965,0.89
,1970,0.47,,,1970,9.13,,,1970,7.46,,,1971,0.23,,,1970,0.58,,,1970,0.41,,,1970,0.49
,1971,0.44,,,1971,10.0,,,1971,6.74,,,1972,0.48,,,1971,1.35,,,1971,0.3,,,1971,1.37
,1972,0.56,,,1972,9.48,,,1972,07.07,,,1979,0.47,,,1972,0.64,,,1972,0.39,,,1972,01.03
,1979,0.45,,,1979,12.16,,,1979,7.81,,,1981,0.41,,,1979,0.57,,,1979,0.26,,,1979,0.58
,1981,0.35,,,1981,6.14,,,1981,8.24,,,1982,0.83,,,1981,0.69,,,1981,0.19,,,1981,0.47
,1982,0.33,,,1982,8.79,,,1982,6.75,,,1983,0.51,,,1982,0.83,,,1982,0.27,,,1982,0.85
,1983,0.46,,,1983,9.25,,,1983,7.45,,,1984,0.88,,,1983,0.69,,,1983,0.31,,,1983,1.21
,1984,0.12,,,1984,5.56,,,1984,4.46,,,1988,0.33,,,1984,0.72,,,1984,0.29,,,1984,1.99
,1988,0.9,,,1988,13.04,,,1988,7.52,,,1990,0.31,,,1988,0.34,,,1988,0.33,,,1988,0.55
,1990,0.4,,,1990,7.29,,,1990,5.54,,,1996,0.28,,,1990,0.55,,,1990,0.39,,,1990,1.25
,1996,0.41,,,1996,11.52,,,1996,6.91,,,1997,0.45,,,1996,01.08,,,1996,0.3,,,1996,0.8
,1997,0.36,,,1997,9.48,,,1997,5.99,,,1998,0.33,,,1997,1.69,,,1997,0.24,,,1997,1.17
